Link,Title,Rating,Votes,Description,Director
https://www.imdb.com/title/tt9820556/?ref_=adv_li_tt,Breach,3.0,"9,008","On the cusp of fatherhood, a junior mechanic aboard an interstellar ark to New Earth must outwit a malevolent cosmic terror intent on using the spaceship as a weapon.",John Suits
https://www.imdb.com/title/tt9059704/?ref_=adv_li_tt,An American Pickle,5.7,"18,514",An immigrant worker at a pickle factory is accidentally preserved for 100 years and wakes up in modern-day Brooklyn.,Brandon Trost
https://www.imdb.com/title/tt10618286/?ref_=adv_li_tt,Mank,6.9,"62,992",1930's Hollywood is reevaluated through the eyes of scathing social critic and alcoholic screenwriter Herman J. Mankiewicz as he races to finish the screenplay of Citizen Kane (1941).,David Fincher
https://www.imdb.com/title/tt6673612/?ref_=adv_li_tt,Dolittle,5.6,"52,547",A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.,Stephen Gaghan
https://www.imdb.com/title/tt8615822/?ref_=adv_li_tt,Occupation: Rainfall,5.7,"5,130","Two years after aliens land on Earth, survivors from Sydney, Australia, fight in a desperate war as the number of casualties continue to grow.",Luke Sparke
https://www.imdb.com/title/tt6587640/?ref_=adv_li_tt,Trolls World Tour,6.1,"18,980","When the Queen of the Hard Rock Trolls tries to take over all the Troll kingdoms, Queen Poppy and her friends try different ways to save all the Trolls.",Walt Dohrn
https://www.imdb.com/title/tt4651466/?ref_=adv_li_tt,Joe Bell,5.0,347,"The true story of a small town, working class father who embarks on a solo walk across the U.S. to crusade against bullying after his son is tormented in high school for being gay.",Reinaldo Marcus Green
https://www.imdb.com/title/tt7983894/?ref_=adv_li_tt,Ammonite,6.5,"11,181","1840s England, acclaimed but overlooked fossil hunter Mary Anning and a young woman sent to convalesce by the sea develop an intense relationship, altering both of their lives forever.",Francis Lee
https://www.imdb.com/title/tt5918982/?ref_=adv_li_tt,Possessor,6.5,"25,014",Possessor follows an agent who works for a secretive organization that uses brain-implant technology to inhabit other people's bodies - ultimately driving them to commit assassinations for high-paying clients.,Brandon Cronenberg
https://www.imdb.com/title/tt10451852/?ref_=adv_li_tt,Nine Days,7.3,447,A reclusive man conducts a series of interviews with human souls for a chance to be born.,Edson Oda
https://www.imdb.com/title/tt9691136/?ref_=adv_li_tt,Shadow in the Cloud,4.8,"18,059",A female WWII pilot traveling with top secret documents on a B-17 Flying Fortress encounters an evil presence on board the flight.,Roseanne Liang
https://www.imdb.com/title/tt9731534/?ref_=adv_li_tt,The Night House,6.1,294,A widow begins to uncover her recently deceased husband's disturbing secrets.,David Bruckner
https://www.imdb.com/title/tt7149730/?ref_=adv_li_tt,The Silencing,6.2,"16,451",A reformed hunter living in isolation on a wildlife sanctuary becomes involved in a deadly game of cat and mouse when he and the local Sheriff set out to track a vicious killer who may have kidnapped his daughter years ago.,Robin Pront
https://www.imdb.com/title/tt9689696/?ref_=adv_li_tt,Wander,4.9,"4,619","After getting hired to probe a suspicious death in the small town of Wander, a mentally unstable private investigator becomes convinced the case is linked to the same 'conspiracy cover up' that caused the death of his daughter.",April Mullen
https://www.imdb.com/title/tt4685762/?ref_=adv_li_tt,The Craft: Legacy,4.4,"9,235",A group of high school students form a coven of witches.,Zoe Lister-Jones
https://www.imdb.com/title/tt10065694/?ref_=adv_li_tt,Antebellum,5.7,"21,420",Successful author Veronica Henley finds herself trapped in a horrifying reality and must uncover the mind-bending mystery before it's too late.,Gerard Bush
https://www.imdb.com/title/tt5774060/?ref_=adv_li_tt,Underwater,5.8,"69,387",A crew of oceanic researchers working for a deep sea drilling company try to get to safety after a mysterious earthquake devastates their deepwater research and drilling facility located at the bottom of the Mariana Trench.,William Eubank
https://www.imdb.com/title/tt7917178/?ref_=adv_li_tt,Caveat,6.0,"1,569",A lone drifter suffering from partial memory loss accepts a job to look after a psychologically troubled woman in an abandoned house on an isolated island.,Damian Mc Carthy
https://www.imdb.com/title/tt9619798/?ref_=adv_li_tt,The Wrong Missy,5.7,"34,703","Tim thinks he's invited the woman of his dreams on a work retreat to Hawaii, realizing too late he mistakenly texted someone from a nightmare blind date.",Tyler Spindel
https://www.imdb.com/title/tt10600398/?ref_=adv_li_tt,We Can Be Heroes,4.7,"11,969","When alien invaders capture the Earth's superheroes, their kids must learn to work together to save their parents- and the planet.",Robert Rodriguez
https://www.imdb.com/title/tt10003008/?ref_=adv_li_tt,The Rental,5.7,"22,921",Two couples rent a vacation home for what should be a celebratory weekend get-away.,Dave Franco
https://www.imdb.com/title/tt9883996/?ref_=adv_li_tt,Dream Horse,6.9,"1,543","Dream Alliance is an unlikely race horse bred by small-town Welsh bartender Jan Vokes. With no experience, Jan convinces her neighbors to chip in their meager earnings to help raise Dream in the hopes he can compete with the racing elites.",Euros Lyn
https://www.imdb.com/title/tt9421200/?ref_=adv_li_tt,A Perfect Enemy,5.4,945,"A successful architect is approached on his trip to the Paris Airport by a chatty girl. Although the meeting seems fortuitous, soon there be a turn that will transform the encounter into something much more sinister and criminal.",Kike Maíllo
https://www.imdb.com/title/tt10808832/?ref_=adv_li_tt,Let Them All Talk,6.1,"8,203",A famous author goes on a cruise trip with her friends and nephew in an effort to find fun and happiness while she comes to terms with her troubled past.,Steven Soderbergh
