link,Code,Sale_rent,Price,Total_area,Floor,Rooms,Date
https://akcern.am/en/property/10179,Code - 259195,For sale Apartment in Yerevan,"58,000 USD",'Total area 59 m 2','Floor 4','Count of rooms 2',20.01.2021
https://akcern.am/en/property/16467,Code - 10693,For rent Apartment in Yerevan,700 USD,'Total area 36 m 2','Floor 5','Count of rooms 1',20.01.2021
https://akcern.am/en/property/16280,Code - 10649,For rent Apartment in Yerevan,500 USD,'Total area 42 m 2','Floor 5','Count of rooms 1',20.01.2021
https://akcern.am/en/property/10009,Code - 159139,For sale Apartment in Yerevan,"100,000 USD",'Total area 60 m 2','Floor 3','Count of rooms 1',20.01.2021
https://akcern.am/en/property/7037,Code - 40937,For sale Apartment in Yerevan,"158,000 USD",'Total area 120 m 2','Floor 6','Count of rooms 4',20.01.2021
https://akcern.am/en/property/6634,Code - 30562,For rent Apartment in Yerevan,600 USD,'Total area 125 m 2','Floor 9','Count of rooms 3',19.01.2021
https://akcern.am/en/property/10431,Code - 30270,For rent Apartment in Yerevan,550 USD,'Total area 116 m 2','Floor 11','Count of rooms 3',19.01.2021
https://akcern.am/en/property/9072,Code - 40601,For sale Apartment in Yerevan,"130,000 USD",'Total area 98 m 2','Floor 3','Count of rooms 4',19.01.2021
https://akcern.am/en/property/8550,Code - 22141,For sale Apartment in Yerevan,"200,000 USD",'Total area 68 m 2','Floor 7','Count of rooms 2',19.01.2021
https://akcern.am/en/property/9302,Code - 22164,For sale Apartment in Yerevan,"140,000 USD",'Total area 63 m 2','Floor 2','Count of rooms 2',19.01.2021
https://akcern.am/en/property/7636,Code - 22097,For sale Apartment in Yerevan,"195,000 USD",'Total area 82 m 2','Floor 2','Count of rooms 2',19.01.2021
https://akcern.am/en/property/4439,Code - 21933,For sale Apartment in Yerevan,"100,000 USD",'Total area 77 m 2','Floor 4','Count of rooms 2',19.01.2021
https://akcern.am/en/property/3286,Code - 21778,For sale Apartment in Yerevan,"90,000 USD",'Total area 65 m 2','Floor 5','Count of rooms 2',19.01.2021
https://akcern.am/en/property/1782,Code - 21309,For sale Apartment in Yerevan,"170,000 USD",'Total area 79 m 2','Floor 13','Count of rooms 2',19.01.2021
https://akcern.am/en/property/7173,Code - 22070,For sale Apartment in Yerevan,"87,000 USD",'Total area 77 m 2','Floor 5','Count of rooms 2',19.01.2021
https://akcern.am/en/property/10178,Code - 359193,For sale Apartment in Yerevan,"70,000 USD",'Total area 92 m 2','Floor 1','Count of rooms 3',19.01.2021
https://akcern.am/en/property/7526,Code - 22084,For sale Apartment in Yerevan,"73,000 USD",'Total area 70 m 2','Floor ','Count of rooms 2',19.01.2021
https://akcern.am/en/property/637,Code - 20000,For rent Apartment in Yerevan,800 USD,'Total area 55 m 2','Floor 2','Count of rooms 2',19.01.2021
https://akcern.am/en/property/10177,Code - 259190,For sale Apartment in Yerevan,"131,000 USD",'Total area 73 m 2','Floor 5','Count of rooms 2',19.01.2021
https://akcern.am/en/property/9944,Code - 359022,For rent Apartment in Yerevan,500 USD,'Total area 58 m 2','Floor 8','Count of rooms 3',19.01.2021
https://akcern.am/en/property/6101,Code - 40928,For sale Apartment in Yerevan,"280,000 USD",'Total area 140 m 2','Floor 11','Count of rooms 4',18.01.2021
https://akcern.am/en/property/7719,Code - 40667,For sale Apartment in Yerevan,"125,000 USD",'Total area 120 m 2','Floor 14','Count of rooms 4',18.01.2021
https://akcern.am/en/property/9964,Code - 359043,For sale Apartment in Yerevan,"80,000 USD",'Total area 77 m 2','Floor 5','Count of rooms 3',18.01.2021
https://akcern.am/en/property/4402,Code - 22497,For sale Apartment in Դիլիջան,"46,000 USD",'Total area 84 m 2','Floor 2','Count of rooms 2',18.01.2021
https://akcern.am/en/property/4175,Code - 22471,For sale Apartment in Yerevan,"40,000 USD",'Total area 79 m 2','Floor 2','Count of rooms 2',18.01.2021
https://akcern.am/en/property/4174,Code - 22470,For sale Apartment in Yerevan,"45,000 USD",'Total area 72 m 2','Floor 1','Count of rooms 2',18.01.2021
https://akcern.am/en/property/9853,Code - 158916,For sale Apartment in Yerevan,"72,000 USD",'Total area 45 m 2','Floor 7','Count of rooms 1',18.01.2021
https://akcern.am/en/property/10017,Code - 259174,For sale Apartment in Yerevan,"170,000 USD",'Total area 64 m 2','Floor 4','Count of rooms 2',18.01.2021
https://akcern.am/en/property/10167,Code - 159172,For sale Apartment in Yerevan,"47,000 USD",'Total area 36 m 2','Floor 14','Count of rooms 1',18.01.2021
https://akcern.am/en/property/13587,Code - 10567,For rent Apartment in Yerevan,700 USD,'Total area 39 m 2','Floor 3','Count of rooms 1',18.01.2021
https://akcern.am/en/property/10164,Code - 859160,For sale Apartment in Yerevan,"73,000 USD",'Total area 96 m 2','Floor 3','Count of rooms 3',18.01.2021
https://akcern.am/en/property/13545,Code - 20613,For rent Apartment in Yerevan,420 USD,'Total area 55 m 2','Floor 9','Count of rooms 2',16.01.2021
https://akcern.am/en/property/10089,Code - 21877,For sale Apartment in Yerevan,"56,000 USD",'Total area 60 m 2','Floor 15','Count of rooms 2',16.01.2021
https://akcern.am/en/property/9698,Code - 258713,For sale Apartment in Yerevan,"72,000 USD",'Total area 59 m 2','Floor 4','Count of rooms 2',16.01.2021
https://akcern.am/en/property/6207,Code - 32034,For sale Apartment in Yerevan,"60,000 USD",'Total area 87 m 2','Floor 5','Count of rooms 3',16.01.2021
https://akcern.am/en/property/10148,Code - 259133,For sale Apartment in Yerevan,"62,000 USD",'Total area 58 m 2','Floor 10','Count of rooms 2',16.01.2021
https://akcern.am/en/property/9858,Code - 858923,For sale Apartment in Yerevan,"120,000 USD",'Total area 91 m 2','Floor 2','Count of rooms 3',16.01.2021
https://akcern.am/en/property/9638,Code - 858629,For sale Apartment in Yerevan,"62,000 USD",'Total area 103 m 2','Floor ','Count of rooms 4',16.01.2021
https://akcern.am/en/property/9640,Code - 858632,For sale Apartment in Yerevan,"62,000 USD",'Total area 103 m 2','Floor ','Count of rooms 4',16.01.2021
https://akcern.am/en/property/8951,Code - 11296,For sale Apartment in Yerevan,"105,000 USD",'Total area 48 m 2','Floor 6','Count of rooms 1',16.01.2021
https://akcern.am/en/property/10146,Code - 459131,For sale Apartment in Yerevan,"66,000 USD",'Total area 100 m 2','Floor 5','Count of rooms 4',15.01.2021
https://akcern.am/en/property/10144,Code - 459128,For sale Apartment in Yerevan,"66,000 USD",'Total area 100 m 2','Floor 5','Count of rooms 4',15.01.2021
https://akcern.am/en/property/10140,Code - 259124,For sale Apartment in Yerevan,"96,000 USD",'Total area 45 m 2','Floor 16','Count of rooms 2',15.01.2021
https://akcern.am/en/property/9932,Code - 259005,For sale Apartment in Yerevan,"161,000 USD",'Total area 59 m 2','Floor 6','Count of rooms 2',15.01.2021
https://akcern.am/en/property/9931,Code - 259002,For sale Apartment in Yerevan,"187,000 USD",'Total area 68 m 2','Floor 6','Count of rooms 2',15.01.2021
https://akcern.am/en/property/9930,Code - 259001,For sale Apartment in Yerevan,"158,000 USD",'Total area 62 m 2','Floor 5','Count of rooms 2',15.01.2021
